Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1		
610	-1.39437	610	-2.23477		
611	-2.25172	611	-2.0633		
612	-1.39437	612	-2.0633		
613	-1.39437	613	-2.92065		
614	-2.25172	614	-2.0633		
615	-1.39437	615	-2.92065		
616	-1.39437	616	-2.92065		
617	-2.25172	617	-3.778		
618	-1.39437	618	-3.778		
619	-0.537022	619	-7.37887		
620	0.320329	620	-9.77946		
621	5.4927	621	-11.6656		
622	8.23623	622	-15.095		
623	11.6656	623	-20.2391		
624	14.9236	624	-22.8112		
625	20.2391	625	-27.9553		
626	23.4971	626	-32.2421		
627	27.9553	627	-36.3573		
628	32.0706	628	-40.4726		
629	36.3573	629	-45.1023		
630	40.4726	630	-49.3891		
631	44.9309	631	-53.5044		
632	49.3891	632	-57.9626		
633	53.8473	633	-62.4208		
634	55.2191	634	-64.6499		
635	61.9064	635	-71.5088		
636	67.222	636	-75.624		
637	70.6514	637	-80.2537		
638	73.9093	638	-83.5117		
639	80.0823	639	-89.3417		
640	84.1976	640	-93.7999		
641	89.5131	641	-97.9152		
642	93.6284	642	-101.688		
643	97.0578	643	-105.974		
644	102.202	644	-109.918		
645	105.631	645	-114.205		
646	110.947	646	-119.52		
647	115.234	647	-122.95		
648	119.349	648	-126.208		
649	124.665	649	-131.523		
650	129.123	650	-135.81		
651	134.095	651	-140.097		
652	136.667	652	-143.526		
653	141.64	653	-149.528		
654	146.956	654	-153.129		
655	149.699	655	-155.529		
656	154.672	656	-160.673		
657	161.359	657	-165.989		
658	164.96	658	-169.247		
659	167.532	659	-172.676		
660	173.534	660	-176.991		
661	182.135	661	-181.278		
662	187.279	662	-186.422		
663	189.68	663	-189.166		
664	195.167	664	-194.138		
665	200.14	665	-198.425		
666	204.426	666	-201.854		
667	208.885	667	-206.999		
668	213.857	668	-211.285		
669	217.287	669	-214.715		
670	221.573	670	-219.859		
671	224.146	671	-221.573		
672	230.833	672	-228.432		
673	236.148	673	-232.719		
674	238.721	674	-235.291		
675	247.294	675	-243.865		
676	251.581	676	-249.009		
677	256.039	677	-252.61		
678	262.726	678	-259.297		
679	267.013	679	-263.584		
